sc_id,time_id,time,SOAG_SRF,DMS_SRF,H2SO4_SRF,O3_SRF,H2O2_SRF,SO2_SRF,T,RELHUM,SZA,lat,chi_hyg,chi_opt1,chi_opt2,chi_abd,Mass_so4,Mass_bc,Mass_ncl,Mass_dst,Mass_pom,Mass_soa
0000,00000001,0.0,7.475039712574218e-11,0.0,5.989236990087717e-11,4.1992294727354296e-08,4.716195217655528e-13,6.23413535977609e-09,289.134,0.4033,0.0,28.44,0.8303576059941552,0.917898963905563,0.917898963905563,0.892028576709386,1.0068646954806275e-10,8.661165340441026e-10,0.0,0.0,6.354724639519149e-10,1.2728547175667493e-10
0000,00000002,3600.0,1.0569045800810494e-10,0.0,7.488576537567859e-11,4.6026275302242045e-08,6.981693826290251e-13,7.550809927875168e-09,289.134,0.4033,0.2541444246276762,28.44,0.7839306453269669,0.8595454834954197,0.8595454834954197,0.8836679085997758,2.971987078574685e-10,9.242745025547863e-10,0.0,0.0,6.781431509729287e-10,3.779653629244876e-10
0000,00000003,7200.0,1.1374522758587436e-10,0.0,6.805879219256605e-11,5.045428881112404e-08,9.295646241700763e-13,8.773613132394067e-09,289.134,0.4033,0.09936238900148277,28.44,0.7298183234789123,0.8114004943359545,0.8114004943359545,0.8760481601906189,6.218135355844927e-10,1.0137592928585308e-09,0.0,0.0,7.437984270765036e-10,8.084757572116829e-10
0000,00000004,10800.0,1.1215562718557416e-10,0.0,5.7714139415465517e-11,5.46047748829921e-08,1.1351328115675256e-12,9.979796175588936e-09,289.134,0.4033,0.2576404161774933,28.44,0.6831636262479084,0.7743140298801852,0.7743140298801852,0.8659490804462977,9.707268205680401e-10,1.1048870870799736e-09,0.0,0.0,8.106591803957085e-10,1.2821828080449587e-09
0000,00000005,14400.0,1.0676268375617805e-10,0.0,4.721768924289904e-11,5.698885845028715e-08,1.274861587801662e-12,1.118461232508039e-08,289.134,0.4033,0.4830634659805282,28.44,0.6452020658893285,0.7444827006716471,0.7444827006716471,0.8562922564699248,1.2850491102577823e-09,1.2112109415983355e-09,0.0,0.0,8.886693316304006e-10,1.70234092212322e-09
0000,00000006,18000.0,1.0093259669194677e-10,0.0,3.756489520033064e-11,5.762286934746615e-08,1.353191311308857e-12,1.2523912972921444e-08,289.134,0.4033,0.7130536012289773,28.44,0.6034074573009957,0.7147572628745663,0.7147572628745663,0.840227916729862,1.5432925993369818e-09,1.344799738430094e-09,0.0,0.0,9.866838580159806e-10,2.0414391459349355e-09
0000,00000007,21600.0,9.466236225420118e-11,0.0,2.8204291866829824e-11,5.459857682284755e-08,1.3799047461283799e-12,1.3811506739488477e-08,289.134,0.4033,0.9419907206248757,28.44,0.5533876438252741,0.6840491341012931,0.6840491341012931,0.8132065331075657,1.73633158703918e-09,1.5304625421658267e-09,0.0,0.0,1.1229052493838041e-09,2.304365666547124e-09
0000,00000008,25200.0,8.486198708107957e-11,0.0,1.8171633722379013e-11,4.9104260860643117e-08,1.3607264314218962e-12,1.478732856475603e-08,289.134,0.4033,1.1674743474125486,28.44,0.5203579939405948,0.6647954766326958,0.6647954766326958,0.7919293375188351,1.8529030372640554e-09,1.7058609947713742e-09,0.0,0.0,1.2515956535840096e-09,2.476819606358994e-09
0000,00000009,28800.0,7.231044620148481e-11,0.0,8.204887927918652e-12,3.7858284273926205e-08,1.3099566782351616e-12,1.5527473006069113e-08,289.134,0.4033,1.3871679475850838,28.44,0.47959094895807103,0.6418306074795975,0.6418306074795975,0.7656246438707985,1.924160694963803e-09,1.8932202355433945e-09,0.0,0.0,1.389061726216995e-09,2.5764066778171025e-09
0000,00000010,32400.0,6.607349698306147e-11,0.0,1.2191409885236473e-12,2.8043580627808914e-08,1.2890527760264084e-12,1.4706286546789177e-08,289.134,0.4033,1.5979485069180053,28.44,0.4903688210288097,0.6465444243641801,0.6465444243641801,0.7696508024120896,1.8728997210229813e-09,1.7847792770390119e-09,0.0,0.0,1.3094982490341704e-09,2.523078658952312e-09
