sc_id,time_id,time,SOAG_SRF,DMS_SRF,H2SO4_SRF,O3_SRF,H2O2_SRF,SO2_SRF,T,RELHUM,SZA,lat,chi_hyg,chi_opt1,chi_opt2,chi_abd,Mass_so4,Mass_bc,Mass_ncl,Mass_dst,Mass_pom,Mass_soa
0000,00000001,0.0,8.998362751902804e-11,0.0,9.716734376383674e-13,1.2275839326466184e-07,2.649964786004999e-09,8.299778369113133e-09,292.277,0.4016,0.0,3.789,0.5951694003124062,0.7911048142891184,0.6064353492531378,0.6921023555337152,2.7536258844435456e-09,1.2235933507240278e-09,0.0,1.2587227630175134e-09,2.9898823749096884e-09,3.712904301309866e-09
0000,00000002,3600.0,8.77241126511513e-11,0.0,8.890866944219131e-13,1.178191448444223e-07,2.5232508688937612e-09,7.859881680199337e-09,292.277,0.4016,2.3188634877812913,3.789,0.6138006270276433,0.7980478594611136,0.6110229485191327,0.7020678319939061,2.5838380201705894e-09,1.1276794929090091e-09,0.0,1.1862173039816773e-09,2.7555143531963974e-09,3.469980753430242e-09
0000,00000003,7200.0,8.550862293703991e-11,0.0,7.877178058610868e-13,1.1330741604182922e-07,2.4015344328916726e-09,7.4436377697445265e-09,292.277,0.4016,2.559271567422193,3.789,0.6261886499322699,0.8034140728394672,0.6147895580344637,0.7089208465101647,2.476451724338159e-09,1.0681459546795917e-09,0.0,1.1290016055801912e-09,2.610042594492554e-09,3.3138997931374427e-09
0000,00000004,10800.0,8.332455089277775e-11,0.0,7.034520363604612e-13,1.0916386847601902e-07,2.2848312767350087e-09,7.0497244513532246e-09,292.277,0.4016,2.771615634894218,3.789,0.6343803260568317,0.8068028848412173,0.6179507376917718,0.7121619003295717,2.3559407142468293e-09,1.0132079494773317e-09,0.0,1.073126145002696e-09,2.4758001410093434e-09,3.144011453210984e-09
0000,00000005,14400.0,8.11795527536652e-11,0.0,6.400958143803277e-13,1.0534245395297717e-07,2.1731183388883723e-09,6.676885766307465e-09,292.277,0.4016,2.8764296701820733,3.789,0.6406460134561934,0.8093706677425824,0.6188835154103868,0.7136748261422347,2.2281889922406294e-09,9.51163872576159e-10,0.0,1.0242534084189199e-09,2.3241938153582785e-09,2.9619931318758075e-09
0000,00000006,18000.0,7.906066433496859e-11,0.0,5.847028282991254e-13,1.0180593187337686e-07,2.0663216321903784e-09,6.323945985355305e-09,292.277,0.4016,2.768232635557874,3.789,0.6448257118798838,0.8115898306807473,0.6190333837619874,0.7137577607235962,2.1147860625804194e-09,8.991389038078077e-10,0.0,9.784973006636754e-10,2.1970694426378125e-09,2.8038580308493726e-09
0000,00000007,21600.0,7.522858082722873e-11,0.0,5.400435918158109e-13,9.852364994972534e-08,1.9643330657222005e-09,5.989804626162219e-09,292.277,0.4016,2.5549903038222355,3.789,0.6468029819706124,0.8123459705617585,0.6201905749668188,0.7129520826451117,1.9903840371264586e-09,8.491349067207909e-10,0.0,9.227684571321532e-10,2.0748833671111314e-09,2.639533683108767e-09
0000,00000008,25200.0,7.232995048128303e-11,0.0,5.05752641389239e-13,9.547004443622817e-08,1.867021850869814e-09,5.673430255039537e-09,292.277,0.4016,2.314352990826446,3.789,0.6475208951420179,0.8126599554845562,0.6205102163698959,0.7120984205247649,1.893504177220182e-09,8.073725107270323e-10,0.0,8.791446673036646e-10,1.972835859545119e-09,2.4987892621740807e-09
0000,00000009,28800.0,7.022411316584925e-11,0.0,4.729565192508762e-13,9.262354509433165e-08,1.774241647914097e-09,5.373854711933703e-09,292.277,0.4016,2.064611342031018,3.789,0.6520229675625324,0.8152080922661168,0.6243557953908382,0.7134163824615463,1.8077250861672592e-09,7.756399980047157e-10,0.0,8.302729315619923e-10,1.8952966342429286e-09,2.3800710373181565e-09
0000,00000010,32400.0,6.825067657944202e-11,0.0,4.4820982227321594e-13,8.99657487073612e-08,1.6858356447567071e-09,5.090167914085729e-09,292.277,0.4016,1.8109926870065303,3.789,0.6504222797793981,0.814309720917532,0.6238615864996668,0.7098695066695746,1.697056957043753e-09,7.34009544824599e-10,0.0,7.885513734523169e-10,1.793571532395093e-09,2.223273901813805e-09
